uuid,vehicle_entrance_uuid,geometry
vehicle_1,localroad_2510006962,Point (126.990821 37.492211)
vehicle_2,localroad_3089166485,Point (127.0085866 37.4883033)
vehicle_3,localroad_1445606439,Point (127.0016021 37.5057151)
vehicle_4,localroad_1696934651,Point (127.0007257 37.4767494)
vehicle_5,localroad_4107783310,Point (126.9963924 37.486061)
vehicle_6,localroad_3804191248,Point (126.9846275 37.4908709)
vehicle_7,localroad_4184618645,Point (127.048049 37.4737342)
vehicle_8,localroad_1430655018,Point (127.0247036 37.502368)
vehicle_9,localroad_4147053966,Point (127.0059882 37.5070592)
vehicle_10,localroad_4185835030,Point (126.9973292 37.4819279)
vehicle_11,localroad_3212533179,Point (127.0168075 37.4997004)
vehicle_12,localroad_1962358614,Point (127.0093502 37.5008791)
vehicle_13,localroad_2533109218,Point (126.9874829 37.4958184)
vehicle_14,localroad_595776308,Point (127.0164075 37.517563)
vehicle_15,localroad_1696934690,Point (127.0015179 37.4801609)
vehicle_16,localroad_2295365587,Point (127.0198293 37.4899552)
vehicle_17,localroad_2623456118,Point (126.9936017 37.4891762)
vehicle_18,localroad_4184618649,Point (127.0448735 37.4731301)
vehicle_19,localroad_2622810001,Point (126.9976503 37.4978263)
vehicle_20,localroad_9717256586,Point (127.0152917 37.4923191)
vehicle_21,localroad_1925380126,Point (127.0324325 37.4746683)
vehicle_22,localroad_1430676800,Point (127.0073407 37.4823515)
vehicle_23,localroad_436844215,Point (126.998817 37.4796936)
vehicle_24,localroad_4954438710,Point (127.0141025 37.5198655)
vehicle_25,localroad_2388037859,Point (127.0139675 37.4921691)
vehicle_26,localroad_4184399721,Point (127.0378371 37.4841992)
vehicle_27,localroad_4634856427,Point (127.0254228 37.4710241)
vehicle_28,localroad_4634856426,Point (127.0252748 37.471323)
vehicle_29,localroad_1962358596,Point (127.0113085 37.5012701)
vehicle_30,localroad_3827170281,Point (127.0262797 37.4871006)
vehicle_31,localroad_3827257129,Point (127.0217405 37.4847457)
vehicle_32,localroad_4738140916,Point (127.0009618 37.5055294)
vehicle_33,localroad_3804191051,Point (126.9872158 37.4862748)
vehicle_34,localroad_2623456267,Point (126.9934358 37.493104)
vehicle_35,localroad_3727772781,Point (127.0304993 37.4740026)
vehicle_36,localroad_4634856427,Point (127.0254228 37.4710241)
vehicle_37,localroad_436817738,Point (127.0115903 37.5024989)
vehicle_38,localroad_2655406570,Point (127.0221264 37.4844294)
vehicle_39,localroad_3492880493,Point (127.0239215 37.4866412)
vehicle_40,localroad_436817738,Point (127.0115903 37.5024989)
vehicle_41,localroad_3088424193,Point (126.9950154 37.50588)
vehicle_42,localroad_1962358595,Point (127.0106018 37.499595)
vehicle_43,localroad_4182209839,Point (127.0227046 37.5043539)
vehicle_44,localroad_2477340277,Point (127.020835 37.5040719)
vehicle_45,localroad_2280678683,Point (127.0267729 37.4994695)
vehicle_46,localroad_2533109200,Point (126.9889672 37.4935864)
vehicle_47,localroad_4195788589,Point (126.9828701 37.4937761)
vehicle_48,localroad_4185626654,Point (127.0106412 37.5008873)
vehicle_49,localroad_2861410666,Point (127.0095713 37.5162598)
vehicle_50,localroad_436817738,Point (127.0115903 37.5024989)
vehicle_51,localroad_3462554894,Point (127.0004955 37.47937)
vehicle_52,localroad_571448678,Point (127.0284792 37.4944511)
vehicle_53,localroad_1962358629,Point (127.010677 37.5019187)
vehicle_54,localroad_2280599507,Point (127.0265779 37.4919997)
vehicle_55,localroad_1430655026,Point (127.0217224 37.5021744)
vehicle_56,localroad_1445606439,Point (127.0016021 37.5057151)
vehicle_57,localroad_2279487862,Point (127.0018003 37.5052577)
vehicle_58,localroad_4147017218,Point (127.0078686 37.5076354)
vehicle_59,localroad_11633858680,Point (127.043763 37.4652158)
vehicle_60,localroad_4184070814,Point (127.0282642 37.4925089)
vehicle_61,localroad_11641428829,Point (127.0048158 37.5060798)
vehicle_62,localroad_2551950254,Point (126.9867077 37.4983133)
vehicle_63,localroad_3827338078,Point (127.0073253 37.4869864)
vehicle_64,localroad_3827338105,Point (127.0091952 37.4884836)
vehicle_65,localroad_600377807,Point (127.0187502 37.5183522)
vehicle_66,localroad_600377852,Point (127.017733 37.5162662)
vehicle_67,localroad_2295372304,Point (127.0183638 37.4940381)
vehicle_68,localroad_1962358596,Point (127.0113085 37.5012701)
vehicle_69,localroad_1962358583,Point (127.010175 37.5021184)
vehicle_70,localroad_4184399716,Point (127.0395072 37.4846966)
vehicle_71,localroad_8486132575,Point (126.9910767 37.4744717)
vehicle_72,localroad_2295372337,Point (127.019316 37.4948209)
vehicle_73,localroad_600377854,Point (127.018434 37.5168542)
vehicle_74,localroad_2244637675,Point (127.0032639 37.5083279)
vehicle_75,localroad_4181527977,Point (127.0178284 37.5106366)
vehicle_76,localroad_11641428829,Point (127.0048158 37.5060798)
vehicle_77,localroad_4185626654,Point (127.0106412 37.5008873)
vehicle_78,localroad_3112159933,Point (127.0175285 37.498569)
vehicle_79,localroad_3827548464,Point (127.0166219 37.493501)
vehicle_80,localroad_4944067989,Point (127.0252056 37.4989723)
vehicle_81,localroad_1962358617,Point (127.0093392 37.5037131)
vehicle_82,localroad_3804191248,Point (126.9846275 37.4908709)
vehicle_83,localroad_2623456230,Point (126.9917238 37.4933121)
vehicle_84,localroad_4954438710,Point (127.0141025 37.5198655)
vehicle_85,localroad_3212533179,Point (127.0168075 37.4997004)
vehicle_86,localroad_3212533179,Point (127.0168075 37.4997004)
