uuid,pedestrian_entrance_uuid,geometry
walkway_1,pedestrian_2510006962,Point (126.990821 37.492211)
walkway_2,pedestrian_3089166485,Point (127.0085866 37.4883033)
walkway_3,pedestrian_10313078477,Point (127.0025698 37.5053512)
walkway_4,pedestrian_11431861572,Point (127.0008284 37.4769628)
walkway_5,pedestrian_4107783310,Point (126.9963924 37.486061)
walkway_6,pedestrian_3804191248,Point (126.9846275 37.4908709)
walkway_7,pedestrian_4184618645,Point (127.048049 37.4737342)
walkway_8,pedestrian_1430655032,Point (127.0238292 37.5017731)
walkway_9,pedestrian_9787421579,Point (127.0056764 37.5063166)
walkway_10,pedestrian_3092110166,Point (126.9976591 37.4826096)
walkway_11,pedestrian_3401867792,Point (127.0175844 37.4997824)
walkway_12,pedestrian_8489299002,Point (127.0084521 37.5010977)
walkway_13,pedestrian_4146699347,Point (126.9878134 37.4953274)
walkway_14,pedestrian_6581927926,Point (127.0147676 37.5179571)
walkway_15,pedestrian_1696934690,Point (127.0015179 37.4801609)
walkway_16,pedestrian_9602018670,Point (127.0197907 37.4900361)
walkway_17,pedestrian_2623456118,Point (126.9936017 37.4891762)
walkway_18,pedestrian_4184618649,Point (127.0448735 37.4731301)
walkway_19,pedestrian_2622810001,Point (126.9976503 37.4978263)
walkway_20,pedestrian_9717256586,Point (127.0152917 37.4923191)
walkway_21,pedestrian_3732523552,Point (127.0321548 37.4748677)
walkway_22,pedestrian_1430676800,Point (127.0073407 37.4823515)
walkway_23,pedestrian_436844215,Point (126.998817 37.4796936)
walkway_24,pedestrian_11225321857,Point (127.014207 37.519852)
walkway_25,pedestrian_2388037859,Point (127.0139675 37.4921691)
walkway_26,pedestrian_3827169478,Point (127.0379422 37.484902)
walkway_27,pedestrian_4634856427,Point (127.0254228 37.4710241)
walkway_28,pedestrian_8491008568,Point (127.0249769 37.4709666)
walkway_29,pedestrian_1962358596,Point (127.0113085 37.5012701)
walkway_30,pedestrian_3827170281,Point (127.0262797 37.4871006)
walkway_31,pedestrian_3827257129,Point (127.0217405 37.4847457)
walkway_32,pedestrian_11428505004,Point (127.001081 37.505564)
walkway_33,pedestrian_8486814110,Point (126.9866056 37.4865536)
walkway_34,pedestrian_2623456267,Point (126.9934358 37.493104)
walkway_35,pedestrian_3734651258,Point (127.0306789 37.4756407)
walkway_36,pedestrian_4634856427,Point (127.0254228 37.4710241)
walkway_37,pedestrian_12061668098,Point (127.0118276 37.5024663)
walkway_38,pedestrian_2655406570,Point (127.0221264 37.4844294)
walkway_39,pedestrian_9249736238,Point (127.0238883 37.4865812)
walkway_40,pedestrian_12061668098,Point (127.0118276 37.5024663)
walkway_41,pedestrian_3088424193,Point (126.9950154 37.50588)
walkway_42,pedestrian_1962358595,Point (127.0106018 37.499595)
walkway_43,pedestrian_4182209839,Point (127.0227046 37.5043539)
walkway_44,pedestrian_2477340277,Point (127.020835 37.5040719)
walkway_45,pedestrian_4946614556,Point (127.0260778 37.4992455)
walkway_46,pedestrian_2624211615,Point (126.9888526 37.4935397)
walkway_47,pedestrian_4195788589,Point (126.9828701 37.4937761)
walkway_48,pedestrian_4185626654,Point (127.0106412 37.5008873)
walkway_49,pedestrian_8488872314,Point (127.0103015 37.5162968)
walkway_50,pedestrian_12061668098,Point (127.0118276 37.5024663)
walkway_51,pedestrian_3462554894,Point (127.0004955 37.47937)
walkway_52,pedestrian_571448678,Point (127.0284792 37.4944511)
walkway_53,pedestrian_1962358629,Point (127.010677 37.5019187)
walkway_54,pedestrian_9711448794,Point (127.0259874 37.4921147)
walkway_55,pedestrian_12061673677,Point (127.0218479 37.5016474)
walkway_56,pedestrian_10313078477,Point (127.0025698 37.5053512)
walkway_57,pedestrian_7760193484,Point (127.002664 37.5051852)
walkway_58,pedestrian_4147017218,Point (127.0078686 37.5076354)
walkway_59,pedestrian_4314799379,Point (127.0444669 37.4645555)
walkway_60,pedestrian_9608955311,Point (127.028643 37.4925624)
walkway_61,pedestrian_7760193442,Point (127.0046841 37.5063008)
walkway_62,pedestrian_2551950254,Point (126.9867077 37.4983133)
